GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22100361,2021-12-06,1610612744,1610612753,126.0,95.0,28.0,18.0,43.0,38.0,0.494,0.434,0.5,0.289,0.69,0.818,True,True,28.0,43.0,0.494,0.5,0.69
22100346,2021-12-04,1610612744,1610612759,107.0,112.0,26.0,24.0,45.0,45.0,0.444,0.477,0.333,0.343,0.667,0.842,True,False,26.0,45.0,0.444,0.333,0.667
22100340,2021-12-03,1610612744,1610612756,118.0,96.0,30.0,23.0,51.0,38.0,0.489,0.383,0.487,0.364,0.75,0.743,True,True,30.0,51.0,0.489,0.487,0.75
22100316,2021-11-30,1610612756,1610612744,104.0,96.0,28.0,25.0,35.0,51.0,0.494,0.419,0.4,0.35,0.545,0.714,False,False,25.0,51.0,0.419,0.35,0.714
22100300,2021-11-28,1610612746,1610612744,90.0,105.0,18.0,25.0,47.0,43.0,0.4,0.442,0.321,0.425,0.68,0.545,False,True,25.0,43.0,0.442,0.425,0.545
22100290,2021-11-26,1610612744,1610612757,118.0,103.0,31.0,23.0,48.0,37.0,0.54,0.419,0.324,0.342,0.75,0.783,True,True,31.0,48.0,0.54,0.324,0.75
22100278,2021-11-24,1610612744,1610612755,116.0,96.0,32.0,17.0,41.0,41.0,0.525,0.425,0.395,0.286,0.708,0.909,True,True,32.0,41.0,0.525,0.395,0.708
22100252,2021-11-21,1610612744,1610612761,119.0,104.0,31.0,25.0,47.0,47.0,0.494,0.394,0.489,0.405,0.792,0.55,True,True,31.0,47.0,0.494,0.489,0.792
22100231,2021-11-19,1610612765,1610612744,102.0,105.0,21.0,22.0,35.0,48.0,0.4,0.475,0.333,0.4,0.8,0.81,False,True,22.0,48.0,0.475,0.4,0.81
22100224,2021-11-18,1610612739,1610612744,89.0,104.0,22.0,36.0,42.0,34.0,0.425,0.494,0.308,0.349,0.563,0.875,False,True,36.0,34.0,0.494,0.349,0.875
22100210,2021-11-16,1610612751,1610612744,99.0,117.0,21.0,25.0,38.0,53.0,0.386,0.519,0.278,0.325,0.778,0.786,False,True,25.0,53.0,0.519,0.325,0.786
22100194,2021-11-14,1610612766,1610612744,106.0,102.0,23.0,31.0,39.0,49.0,0.477,0.422,0.389,0.231,0.667,0.68,False,False,31.0,49.0,0.422,0.231,0.68
22100183,2021-11-12,1610612744,1610612741,119.0,93.0,27.0,18.0,47.0,38.0,0.484,0.436,0.326,0.296,0.875,0.773,True,True,27.0,47.0,0.484,0.326,0.875
22100169,2021-11-10,1610612744,1610612750,123.0,110.0,23.0,30.0,53.0,40.0,0.471,0.411,0.275,0.386,0.8,0.75,True,True,23.0,53.0,0.471,0.275,0.8
22100152,2021-11-08,1610612744,1610612737,127.0,113.0,31.0,21.0,39.0,35.0,0.478,0.463,0.409,0.395,0.955,0.769,True,True,31.0,39.0,0.478,0.409,0.955
22100145,2021-11-07,1610612744,1610612745,120.0,107.0,31.0,17.0,41.0,42.0,0.518,0.456,0.326,0.303,0.85,0.676,True,True,31.0,41.0,0.518,0.326,0.85
22100130,2021-11-05,1610612744,1610612740,126.0,85.0,36.0,23.0,49.0,42.0,0.516,0.352,0.4,0.25,0.857,0.75,True,True,36.0,49.0,0.516,0.4,0.857
